País,Jornal/Agência,Afiliação Política,Circulação Estimada,Grupo Controlador/Donos,Link
EUA,The Wall Street Journal,Conservador/Empresarial,"2,834,000 (inclui digital)",News Corp (Rupert Murdoch),wsj.com
EUA,The New York Times,Liberal,"8,400,000 (inclui digital)",The New York Times Co. (Família Sulzberger),nytimes.com
EUA,USA Today,Centrista,"2,600,000 (inclui digital)",Gannett,usatoday.com
EUA,Los Angeles Times,Liberal,"1,200,000 (inclui digital)",Nant Capital (Patrick Soon-Shiong),latimes.com
EUA,New York Post,Conservador,419,News Corp (Rupert Murdoch),nypost.com
EUA,The Washington Post,Centro-esquerda/Liberal,N/A,Nash Holdings (Jeff Bezos),washingtonpost.com
China,People's Daily,Jornal oficial do PCC,"3,000,000",Partido Comunista da China (PCC),people.cn
China,Reference News,Patrocinado pelo Estado,"3,000,000",Agência de Notícias Xinhua (Estado Chinês),cankaoxiaoxi.com
China,Global Times,Patrocinado pelo Estado,"1,500,000",People's Daily (PCC),globaltimes.cn
China,China Daily,Patrocinado pelo Estado,900,Departamento de Publicidade do PCC,chinadaily.com.cn
China,South China Morning Post,Mais independente,100,Alibaba Group,scmp.com
Alemanha,Bild,Conservador,"1,210,000",Axel Springer SE,bild.de
Reino Unido,The Sun,Conservador,"1,200,000",News UK (News Corp / Rupert Murdoch),thesun.co.uk
Reino Unido,Daily Mail,Conservador,"1,130,000",Daily Mail and General Trust (DMGT),dailymail.co.uk
França,Le Monde,Centro-esquerda,458,Grupo Le Monde (Xavier Niel e independentes),lemonde.fr
Reino Unido,The Guardian,Centro-esquerda,"126,879",Scott Trust Limited,theguardian.com
Espanha,El País,Centro-esquerda,"92,598",Grupo PRISA,https://elpais.com/america/
Alemanha,Frankfurter Allgemeine Zeitung,Centro-direita,208,FAZIT-Stiftung (Fundação),faz.net
Itália,La Repubblica,Centro-esquerda,172,GEDI Gruppo Editoriale (Exor / Família Agnelli),repubblica.it
França,Le Figaro,Centro-direita,340,Groupe Dassault,lefigaro.fr
Brasil,Folha de S.Paulo,Centro-esquerda,"334,805 (digital e impresso)",Grupo Folha (Família Frias),folha.uol.com.br
Brasil,O Globo,Centro-direita,"300,000 (digital e impresso)",Grupo Globo (Família Marinho),oglobo.globo.com
Brasil,O Estado de S. Paulo,Centro-direita,"236,000 (digital e impresso)",Grupo Estado (Família Mesquita),estadao.com.br
Brasil,Super Notícia,Sensacionalista,278,Sempre Editora (Vittorio Medioli),otempo.com.br/super-noticia
Brasil,Zero Hora,Centro,"180,000 (digital e impresso)",Grupo RBS (Família Sirotsky),gauchazh.clicrbs.com.br
Brasil,Gazeta do Povo (PR),Conservador,"Digital (100,000+ assinantes)",Grupo Paranaense de Comunicação (GRPCOM),gazetadopovo.com.br
Brasil,Tribuna do Paraná (PR),Centro / Popular,N/A (Digital e Impresso),Grupo Paranaense de Comunicação (GRPCOM),tribunapr.com.br
Brasil,Folha de Londrina (PR),Centro-direita,"20,000 (estimado)",Grupo Folha de Comunicação,folhadelondrina.com.br
Brasil,Portal RIC (PR),Centro-direita,N/A (Digital),Grupo RIC (Família Petrelli),ric.com.br
Brasil,Portal Banda B (PR),Centro / Popular,N/A (Digital e Rádio),Rádio Banda B (Família Luiz Carlos Martins),bandab.com.br
Argentina,Clarín,Centro-direita,200,Grupo Clarín (Héctor Magnetto),clarin.com
Argentina,La Nación,Conservador,70,S.A. La Nación (Família Saguier / Mitre),lanacion.com.ar
México,El Universal,Centro,180,Compañía Periodística Nacional (J.F. Ealy Ortiz),eluniversal.com.mx
México,Reforma,Centro-direita,140,Grupo Reforma (Família Junco de la Vega),reforma.com
México,La Jornada,Esquerda,130,"Demos, Desarrollo de Medios, S.A. de C.V.",jornada.com.mx
Colômbia,El Tiempo,Centro-direita,112,Grupo Aval (Luis Carlos Sarmiento Angulo),eltiempo.com
Colômbia,El Espectador,Liberal,50,Grupo Santo Domingo (Valorem),elespectador.com
Chile,El Mercurio,Conservador,60,El Mercurio S.A.P. (Família Edwards),elmercurio.com
Chile,La Tercera,Centro,100,Grupo Copesa (Álvaro Saieh),latercera.com
Peru,El Comercio,Centro-direita,75,Grupo El Comercio (Família Miró Quesada),elcomercio.pe
Paraguai,ABC Color,Centro-direita,45,Grupo AZ (Família Zuccolillo),abc.com.py
Paraguai,Última Hora,Centro,30,Grupo Vierci (A.J. Vierci),ultimahora.com
Paraguai,La Nación (PY),Centro-direita,"20,000 (fontes mistas)",Grupo Nación Media (Horacio Cartes),lanacion.com.py
Uruguai,El País (UY),Centro-direita,65,"S.A. El País (Famílias Scheck, Aguirre, Belgrano)",elpais.com.uy
Uruguai,El Observador,Liberal,40,Grupo Werthein / Gabriel Hochbaum,elobservador.com.uy
Uruguai,La Diaria,Esquerda,25,Cooperativa La Diaria,ladiaria.com.uy
Rússia,Komsomolskaya Pravda,"Sensacionalista, pró-governo",500,Media Partner / ESN Group (Grigory Berezkin),kp.ru
Rússia,Rossiyskaya Gazeta,Jornal oficial do governo,152,Governo da Federação Russa,rg.ru
Rússia,Izvestia,Pró-governo,115,National Media Group (Yury Kovalchuk),iz.ru
Rússia,Kommersant,"Liberal, negócios",85,Alisher Usmanov (Oligarca),kommersant.ru
Rússia,Moskovsky Komsomolets,"Sensacionalista, liberal","700,000 - 900,000",Pavel Gusev,mk.ru
Rússia,Sputnik,"Estatal, pró-governo",N/A (plataforma online e agência de notícias),Rossiya Segodnya (Governo da Rússia),sputnikglobe.com
África do Sul,The Daily Sun,Sensacionalista,96,Media24 (Naspers),snl24.com/dailysun
África do Sul,Sunday Times,Centro,85,Arena Holdings,timeslive.co.za
África do Sul,The Star,Centro,49,Independent Media (Sekunjalo Investment Group),iol.co.za/the-star
